SPECTRUM - MS,
ESI_metabolome water_pos (separate channel)_no vol_volt then volt on.raw,
FTMS + p NSI Full ms [50.00-100.00],
Scan #: 118-125,
RT: 1.11-1.17,
AV: 8,
Data points: 6617,
Mass,Intensity
61.040855,0
61.040957,0
61.041059,27.101358
61.041161,14.192633
61.041263,1.718109
61.041365,0
61.041467,0
61.041569,0
61.041671,0
61.065344,0
61.065446,0
61.065548,0
61.06565,0
61.065752,6.280301
61.065854,10.694403
61.065957,13.338741
61.066059,13.020616
61.066161,9.647749
61.066263,1.532704
61.066365,0
61.066467,0
61.066569,0
61.066671,0
61.077186,0
61.077288,0
61.07739,0
61.077492,0
61.077594,6.426351
61.077697,10.946219
61.077799,13.147428
61.077901,11.968577
61.078003,7.837776
61.078105,1.13782
61.078207,0
61.078309,0
61.078411,0
61.078513,0
61.083415,0
61.083517,0
61.083619,0
61.083721,0
61.083823,5.992753
61.083925,10.062975
61.084027,26.23372
61.084129,39.15428
61.084232,37.576265
61.084334,26.666419
61.084436,15.653808
61.084538,2.337461
61.08464,0
61.084742,0
61.084844,0
61.084946,0
61.533769,0
61.533872,0
61.533976,0
61.534079,0
61.534182,8.214389
61.534285,12.742002
61.534389,13.687675
61.534492,11.444659
61.534595,7.6216
61.534698,1.180003
61.534802,0
61.534905,0
61.535008,0
61.535111,0
61.929035,0
61.929139,0
61.929243,0
61.929347,0
61.929452,6.076301
61.929556,10.754615
61.92966,12.667501
61.929764,11.366373
61.929869,8.288898
61.929973,1.325396
61.930077,0
61.930181,0
61.930286,0
61.93039,0
62.031006,0
62.031111,0
62.031215,0
62.03132,0
62.031424,7.49955
62.031529,29.845027
62.031633,58.812206
62.031738,82.224664
62.031842,78.072647
62.031947,51.719662
62.032051,20.923498
62.032156,2.992361
62.03226,0
62.032365,0
62.032469,0
62.032574,0
62.035814,0
62.035918,0
62.036023,0
62.036127,0
62.036232,0.056741
62.036336,47.617763
62.036441,171.180629
